	R	G	B	Class
SC_1	0,980392156862745	0,133333333333333	0,0509803921568627	" ""Red""   "
SC_2	0,564705882352941	0,792156862745098	0,0509803921568627	" ""Green"" "
SC_3	0	0,831372549019608	0,196078431372549	" ""Green"" "
SC_4	0,0862745098039216	0,388235294117647	1	" ""Blue""  "
SC_5	0,792156862745098	0	0,984313725490196	" ""Purple"""
SC_7	0	0,784313725490196	0,83921568627451	" ""Blue""  "
SC_9	0,996078431372549	0,607843137254902	0	"  ""Yellow"""
SC_10	0,501960784313725	0,388235294117647	0,686274509803922	" ""Purple"""
SC_11	0,423529411764706	0,486274509803922	0,337254901960784	" ""Green"" "
SC_12	0,803921568627451	0,133333333333333	0,36078431372549	" ""Red""   "
SC_13	0,741176470588235	0,623529411764706	0,0862745098039216	" ""Yellow"""
SC_14	0,992156862745098	0,529411764705882	0,980392156862745	" ""Purple"""
SC_15	0,133333333333333	0,67843137254902	0,988235294117647	"""Blue""  "
SC_16	0,133333333333333	0,807843137254902	0,596078431372549	"""Green"" "
SC_18	0,635294117647059	0,352941176470588	0,149019607843137	"""Red""   "
SC_19	0,745098039215686	0,219607843137255	0,556862745098039	"""Purple"""
SC_20	0,87843137254902	0,317647058823529	0	"""Yellow"""
SC_21	0,670588235294118	0,466666666666667	0,984313725490196	" ""Purple"""
SC_22	0,972549019607843	0	0,929411764705882	"""Purple"""
SC_23	0,109803921568627	0,501960784313725	0	" ""Green"" "
SC_25	0	0,450980392156863	0,603921568627451	"""Blue""  "
